quantile,value,type,location,target,forecast_date,target_end_date
0.010,12552,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.025,13852,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.050,14446,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.100,15657,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.150,16378,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.200,17113,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.250,17589,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.300,18187,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.350,18680,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.400,19192,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.450,19703,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.500,20379,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
NA,20379,point,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.550,20979,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.600,21549,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.650,22089,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.700,22786,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.750,23581,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.800,24247,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.850,25085,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.900,26258,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.950,28079,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.975,30285,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.990,32376,quantile,US,1 wk ahead inc death,2022-01-09,2022-01-15
0.010,16091,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.025,17265,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.050,19178,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.100,21196,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.150,22572,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.200,23615,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.250,24602,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.300,25648,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.350,26557,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.400,27398,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.450,28526,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.500,29522,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
NA,29522,point,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.550,30364,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.600,31375,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.650,32423,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
